Running single thread with 1 workers
finished   (0-0:0) [] [ '0', '1' ]
finished   (1862-0:0) [] [ '1862', '707' ]
finished   (1863-0:0) [] [ '1863', '707' ]
finished   (1320-1:0) [] [ '1320', '572' ]
finished   (1415-2:0) [] [ '1415', '572' ]
finished   (1657-1:0) [] [ '1657', '572' ]
finished   (1664-1:0) [] [ '1664', '572' ]
finished   (1528-1:0) [] [ '1528', '452' ]
finished   (205-11:0) [] [ '205', '508' ]
finished   (1865-0:0) [] [ '1865', '890' ]
finished   (1866-0:0) [] [ '1866', '487' ]
finished   (1202-1:0) [] [ '1202', '1300' ]
finished   (890-2:0) [] [ '890', '452' ]
finished   (1023-2:0) [] [ '1023', '92' ]
finished   (1867-0:0) [] [ '1867', '1075' ]
finished   (1868-0:0) [] [ '1868', '487' ]
finished   (1869-0:0) [] [ '1869', '487' ]
finished   (1870-0:0) [] [ '1870', '452' ]
finished   (1871-0:0) [] [ '1871', '740' ]
finished   (1872-0:0) [] [ '1872', '487' ]
finished   (1871-1:0) [] [ '1871', '740' ]
finished   (1680-1:0) [] [ '1680', '740' ]
finished   (1254-0:0) [] [ '1254', '487' ]
finished   (1679-1:0) [] [ '1679', '740' ]
finished   (1768-1:0) [] [ '1768', '740' ]
finished   (740-2:0) [] [ '740', '19' ]
finished   (1759-1:0) [] [ '1759', '19' ]
finished   (1708-1:0) [] [ '1708', '19' ]
finished   (1256-0:0) [] [ '1256', '487' ]
finished   (1873-0:0) [] [ '1873', '452' ]
finished   (6-12:0) [] [ '6', '7' ]
finished   (1253-0:0) [] [ '1253', '487' ]
finished   (817-2:0) [] [ '817', '215' ]
backtrack21 (1500-1:0) [ '1500' ] [ '183' ]
finished   (1500-1:1) [] [ '1500', '487' ]
finished   (1640-1:0) [] [ '1640', '215' ]
finished   (1061-1:0) [] [ '1061', '1053' ]
finished   (1348-4:0) [] [ '1348', '13', '595' ]
finished   (1822-1:0) [] [ '1822', '13' ]
finished   (1811-1:0) [] [ '1811', '13' ]
finished   (1828-1:0) [] [ '1828', '13' ]
finished   (1075-1:0) [] [ '1075', '484' ]
finished   (1731-1:0) [] [ '1731', '1057' ]
finished   (460-24:0) [] [ '460', '33' ]
finished   (1874-0:0) [] [ '1874', '484' ]
finished   (633-9:0) [] [ '633', '1591' ]
finished   (1875-0:0) [] [ '1875', '29' ]
finished   (1317-2:0) [] [ '1317', '92' ]
finished   (1674-1:0) [] [ '1674', '678' ]
finished   (247-6:0) [] [ '247', '514' ]
finished   (1682-1:0) [] [ '1682', '678' ]
finished   (1119-1:0) [] [ '1119', '999' ]
finished   (1695-1:0) [] [ '1695', '678' ]
finished   (678-3:0) [] [ '678', '1591' ]
finished   (794-6:0) [] [ '794', '1876' ]
finished   (1876-0:0) [] [ '1876', '54' ]
finished   (330-3:0) [] [ '330', '1591' ]
finished   (330-4:0) [] [ '330', '722' ]
finished   (215-7:0) [] [ '215', '1591' ]
finished   (1821-1:0) [] [ '1821', '1591' ]
finished   (1877-0:0) [] [ '1877', '960' ]
finished   (229-2:0) [] [ '229', '955' ]
finished   (1597-1:0) [] [ '1597', '1591' ]
finished   (1598-1:0) [] [ '1598', '1591' ]
finished   (52-3:0) [] [ '52', '977' ]
finished   (240-1:0) [] [ '240', '959' ]
finished   (1593-1:0) [] [ '1593', '1591' ]
finished   (445-11:0) [] [ '445', '999' ]
finished   (572-6:0) [] [ '572', '1116' ]
finished   (1736-1:0) [] [ '1736', '1591' ]
finished   (1557-1:0) [] [ '1557', '1116' ]
finished   (238-1:0) [] [ '238', '963' ]
finished   (241-1:0) [] [ '241', '958' ]
finished   (1736-2:0) [] [ '1736', '1591' ]
finished   (1116-1:0) [] [ '1116', '1591' ]
finished   (1116-2:0) [] [ '1116', '722' ]
finished   (1593-2:0) [] [ '1593', '722' ]
finished   (254-1:0) [] [ '254', '958' ]
finished   (235-2:0) [] [ '235', '977' ]
finished   (1821-2:0) [] [ '1821', '722' ]
finished   (1057-3:0) [] [ '1057', '722' ]
finished   (508-0:0) [] [ '508', '1591' ]
finished   (250-1:0) [] [ '250', '40' ]
finished   (508-1:0) [] [ '508', '1591' ]
finished   (1685-1:0) [] [ '1685', '363' ]
finished   (1714-1:0) [] [ '1714', '363' ]
backtrack21 (10-11:0) [ '10' ] [ '247' ]
finished   (10-11:1) [] [ '10', '1591' ]
finished   (1878-0:0) [] [ '1878', '1591' ]
finished   (1878-1:0) [] [ '1878', '722' ]
finished   (463-2:0) [] [ '463', '955' ]
finished   (69-3:0) [] [ '69', '960' ]
finished   (1554-2:0) [] [ '1554', '722' ]
finished   (1813-1:0) [] [ '1813', '722' ]
finished   (370-12:0) [] [ '370', '756' ]
finished   (1396-1:0) [] [ '1396', '722' ]
finished   (1129-1:0) [] [ '1129', '756' ]
finished   (41-3:0) [] [ '41', '963' ]
finished   (1396-2:0) [] [ '1396', '722' ]
finished   (67-2:0) [] [ '67', '959' ]
finished   (1397-1:0) [] [ '1397', '722' ]
finished   (1559-1:0) [] [ '1559', '1116' ]
finished   (1397-2:0) [] [ '1397', '722' ]
finished   (10-10:0) [] [ '10', '247', '514' ]
finished   (258-1:0) [] [ '258', '40' ]
finished   (1321-1:0) [] [ '1321', '1389' ]
finished   (237-1:0) [] [ '237', '958' ]
backtrack21 (1729-1:0) [ '1729' ] [ '514' ]
finished   (1729-1:1) [] [ '1729', '1879' ]
finished   (1725-1:0) [] [ '1725', '1879' ]
finished   (213-2:0) [] [ '213', '977' ]
finished   (225-2:0) [] [ '225', '977' ]
finished   (1135-1:0) [] [ '1135', '756' ]
finished   (1498-1:0) [] [ '1498', '125' ]
finished   (1295-1:0) [] [ '1295', '756' ]
finished   (1593-3:0) [] [ '1593', '1879' ]
finished   (261-1:0) [] [ '261', '40' ]
finished   (1141-1:0) [] [ '1141', '756' ]
finished   (1652-1:0) [] [ '1652', '572', '1591' ]
finished   (977-1:0) [] [ '977', '794' ]
finished   (955-1:0) [] [ '955', '794' ]
finished   (192-2:0) [] [ '192', '215' ]
finished   (959-1:0) [] [ '959', '794' ]
finished   (958-1:0) [] [ '958', '794' ]
finished   (963-1:0) [] [ '963', '794' ]
finished   (1605-0:0) [] [ '1605', '595' ]
finished   (960-1:0) [] [ '960', '794' ]
finished   (1880-0:0) [] [ '1880', '483' ]
backtrack21 (572-7:0) [ '572' ] [ '363' ]
finished   (572-7:1) [] [ '572', '1591' ]
finished   (660-3:0) [] [ '660', '1591' ]
finished   (1836-1:0) [] [ '1836', '13' ]
finished   (489-10:0) [] [ '489', '274' ]
finished   (1712-1:0) [] [ '1712', '13' ]
finished   (1881-0:0) [] [ '1881', '92' ]
finished   (1075-2:0) [] [ '1075', '1882' ]
finished   (837-2:0) [] [ '837', '756' ]
finished   (16-6:0) [] [ '16', '17' ]
finished   (1159-2:0) [] [ '1159', '125' ]
finished   (1883-0:0) [] [ '1883', '1884' ]
finished   (1885-0:0) [] [ '1885', '1886' ]
finished   (834-1:0) [] [ '834', '792' ]
finished   (215-8:0) [] [ '215', '1591' ]
finished   (17-3:0) [] [ '17', '125' ]
finished   (6-13:0) [] [ '6', '7' ]
finished   (1232-1:0) [] [ '1232', '131' ]
finished   (740-3:0) [] [ '740', '1759' ]
finished   (1887-0:0) [] [ '1887', '1759' ]
finished   (1347-1:0) [] [ '1347', '131' ]
finished   (1888-0:0) [] [ '1888', '459' ]
finished   (1889-0:0) [] [ '1889', '1759' ]
finished   (1347-2:0) [] [ '1347', '18', '19' ]
finished   (1890-0:0) [] [ '1890', '1759' ]
finished   (991-1:0) [] [ '991', '18' ]
finished   (1891-0:0) [] [ '1891', '1759' ]
finished   (1322-5:0) [] [ '1322', '274' ]
finished   (1006-3:0) [] [ '1006', '274' ]
finished   (205-12:0) [] [ '205', '247' ]
finished   (1892-0:0) [] [ '1892', '45' ]
finished   (1893-0:0) [] [ '1893', '56' ]
finished   (65-3:0) [] [ '65', '56' ]
finished   (49-3:0) [] [ '49', '56' ]
finished   (57-2:0) [] [ '57', '56' ]
finished   (64-2:0) [] [ '64', '56' ]
finished   (1894-0:0) [] [ '1894', '45' ]
finished   (62-2:0) [] [ '62', '56' ]
finished   (58-4:0) [] [ '58', '56' ]
finished   (59-1:0) [] [ '59', '56' ]
finished   (531-1:0) [] [ '531', '1895' ]
finished   (1340-2:0) [] [ '1340', '18' ]
finished   (1895-0:0) [] [ '1895', '531' ]
finished   (1897-0:0) [] [ '1897', '1898' ]
finished   (1899-0:0) [] [ '1899', '45' ]
finished   (271-11:0) [] [ '271', '125' ]
finished   (1900-0:0) [] [ '1900', '1901' ]
finished   (1902-0:0) [] [ '1902', '1903' ]
finished   (459-7:0) [] [ '459', '1010' ]
finished   (1904-0:0) [] [ '1904', '47' ]
finished   (1905-0:0) [] [ '1905', '40' ]
finished   (1772-1:0) [] [ '1772', '725' ]
finished   (1906-0:0) [] [ '1906', '40' ]
finished   (1907-0:0) [] [ '1907', '45' ]
finished   (1908-0:0) [] [ '1908', '40' ]
finished   (1909-0:0) [] [ '1909', '370' ]
finished   (1910-0:0) [] [ '1910', '40' ]
finished   (1911-0:0) [] [ '1911', '1912' ]
finished   (1767-2:0) [] [ '1767', '725' ]
finished   (1913-0:0) [] [ '1913', '40' ]
finished   (1914-0:0) [] [ '1914', '45' ]
finished   (1915-0:0) [] [ '1915', '40' ]
finished   (1916-0:0) [] [ '1916', '40' ]
finished   (1917-0:0) [] [ '1917', '45' ]
finished   (1918-0:0) [] [ '1918', '40' ]
finished   (1919-0:0) [] [ '1919', '751' ]
finished   (1108-1:0) [] [ '1108', '1354' ]
finished   (1108-2:0) [] [ '1108', '1354' ]
finished   (1920-0:0) [] [ '1920', '1921' ]
finished   (1107-1:0) [] [ '1107', '1354' ]
finished   (1922-0:0) [] [ '1922', '45' ]
finished   (1923-0:0) [] [ '1923', '736' ]
finished   (1924-0:0) [] [ '1924', '1925' ]
finished   (1926-0:0) [] [ '1926', '40' ]
finished   (1927-0:0) [] [ '1927', '45' ]
finished   (19-7:0) [] [ '19', '131' ]
finished   (1447-0:0) [] [ '1447', '1' ]
finished   (1908-1:0) [] [ '1908', '794' ]
finished   (1906-1:0) [] [ '1906', '794' ]
finished   (370-14:0) [] [ '370', '1746' ]
finished   (1926-1:0) [] [ '1926', '794' ]
finished   (96-3:0) [] [ '96', '164' ]
finished   (1915-1:0) [] [ '1915', '794' ]
finished   (96-4:0) [] [ '96', '164' ]
finished   (1918-1:0) [] [ '1918', '794' ]
finished   (1916-1:0) [] [ '1916', '794' ]
finished   (1780-1:0) [] [ '1780', '717' ]
finished   (1913-1:0) [] [ '1913', '794' ]
finished   (1910-1:0) [] [ '1910', '794' ]
finished   (1928-0:0) [] [ '1928', '45' ]
finished   (1929-0:0) [] [ '1929', '1520' ]
finished   (1905-1:0) [] [ '1905', '794' ]
finished   (741-2:0) [] [ '741', '164' ]
finished   (1655-1:0) [] [ '1655', '1660' ]
finished   (761-2:0) [] [ '761', '164' ]
finished   (1663-1:0) [] [ '1663', '1660' ]
finished   (1419-2:0) [] [ '1419', '452' ]
finished   (1656-1:0) [] [ '1656', '1660' ]
finished   (1659-1:0) [] [ '1659', '1660' ]
finished   (1654-1:0) [] [ '1654', '1660' ]
finished   (1418-2:0) [] [ '1418', '452' ]
finished   (633-10:0) [] [ '633', '1660' ]
finished   (633-11:0) [] [ '633', '1660' ]
finished   (1660-1:0) [] [ '1660', '1591' ]
finished   (1930-0:0) [] [ '1930', '45' ]
finished   (1931-0:0) [] [ '1931', '370' ]
finished   (1278-1:0) [] [ '1278', '1932' ]
finished   (1933-0:0) [] [ '1933', '1212' ]
finished   (1934-0:0) [] [ '1934', '1086' ]
finished   (1935-0:0) [] [ '1935', '445' ]
finished   (1936-0:0) [] [ '1936', '1605' ]
finished   (121-11:0) [] [ '121', '1937' ]
finished   (121-12:0) [] [ '121', '1033' ]
finished   (121-13:0) [] [ '121', '1033' ]
finished   (1212-1:0) [] [ '1212', '123' ]
finished   (1938-0:0) [] [ '1938', '1605' ]
finished   (1939-0:0) [] [ '1939', '1940' ]
finished   (1941-0:0) [] [ '1941', '336' ]
finished   (1699-1:0) [] [ '1699', '1942' ]
finished   (151-12:0) [] [ '151', '123' ]
finished   (136-4:0) [] [ '136', '123' ]
finished   (1943-0:0) [] [ '1943', '1944' ]
finished   (120-1:0) [] [ '120', '1945' ]
finished   (134-1:0) [] [ '134', '1945' ]
finished   (1946-0:0) [] [ '1946', '1947' ]
finished   (1948-0:0) [] [ '1948', '45' ]
finished   (139-1:0) [] [ '139', '1165' ]
finished   (1231-1:0) [] [ '1231', '123' ]
finished   (1949-0:0) [] [ '1949', '10' ]
finished   (1950-0:0) [] [ '1950', '98' ]
finished   (139-2:0) [] [ '139', '1166' ]
finished   (1951-0:0) [] [ '1951', '10' ]
finished   (1952-0:0) [] [ '1952', '336' ]
finished   (139-3:0) [] [ '139', '1953' ]
finished   (139-4:0) [] [ '139', '1954' ]
finished   (139-5:0) [] [ '139', '1955' ]
finished   (139-6:0) [] [ '139', '1956' ]
finished   (1957-0:0) [] [ '1957', '10' ]
finished   (139-7:0) [] [ '139', '220' ]
finished   (1958-0:0) [] [ '1958', '123' ]
finished   (139-8:0) [] [ '139', '1959' ]
finished   (1698-0:0) [] [ '1698', '1' ]
finished   (1961-0:0) [] [ '1961', '45' ]
finished   (139-9:0) [] [ '139', '494' ]
finished   (175-6:0) [] [ '175', '1010' ]
finished   (1962-0:0) [] [ '1962', '10' ]
finished   (139-10:0) [] [ '139', '1963' ]
finished   (1236-1:0) [] [ '1236', '123' ]
finished   (139-11:0) [] [ '139', '1166' ]
finished   (139-12:0) [] [ '139', '1964' ]
finished   (1965-0:0) [] [ '1965', '10' ]
finished   (139-13:0) [] [ '139', '1964' ]
finished   (619-1:0) [] [ '619', '123' ]
finished   (220-0:0) [] [ '220', '1964' ]
finished   (220-1:0) [] [ '220', '1964' ]
finished   (1966-0:0) [] [ '1966', '123' ]
finished   (1956-0:0) [] [ '1956', '1964' ]
finished   (1967-0:0) [] [ '1967', '10' ]
finished   (1956-1:0) [] [ '1956', '1964' ]
finished   (1968-0:0) [] [ '1968', '10' ]
finished   (1170-2:0) [] [ '1170', '123' ]
finished   (1165-1:0) [] [ '1165', '1964' ]
finished   (1969-0:0) [] [ '1969', '47' ]
finished   (555-1:0) [] [ '555', '123' ]
finished   (1165-2:0) [] [ '1165', '1964' ]
finished   (1970-0:0) [] [ '1970', '10' ]
finished   (494-0:0) [] [ '494', '1964' ]
finished   (494-1:0) [] [ '494', '1964' ]
finished   (1971-0:0) [] [ '1971', '123' ]
finished   (1972-0:0) [] [ '1972', '10' ]
finished   (1954-0:0) [] [ '1954', '1964' ]
finished   (1954-1:0) [] [ '1954', '1964' ]
finished   (1973-0:0) [] [ '1973', '65' ]
finished   (1955-0:0) [] [ '1955', '1964' ]
finished   (1899-1:0) [] [ '1899', '1974' ]
finished   (1166-1:0) [] [ '1166', '1964' ]
finished   (1166-2:0) [] [ '1166', '1964' ]
finished   (1892-1:0) [] [ '1892', '1974' ]
finished   (139-14:0) [] [ '139', '1963' ]
finished   (1963-0:0) [] [ '1963', '1964' ]
finished   (1894-1:0) [] [ '1894', '1974' ]
finished   (1963-1:0) [] [ '1963', '1964' ]
finished   (1959-0:0) [] [ '1959', '1964' ]
finished   (1959-1:0) [] [ '1959', '1964' ]
finished   (1945-0:0) [] [ '1945', '1976' ]
finished   (151-13:0) [] [ '151', '1977' ]
finished   (1978-0:0) [] [ '1978', '10' ]
finished   (844-2:0) [] [ '844', '164' ]
finished   (1979-0:0) [] [ '1979', '336' ]
finished   (1977-0:0) [] [ '1977', '123' ]
finished   (1980-0:0) [] [ '1980', '336' ]
finished   (1981-0:0) [] [ '1981', '10' ]
finished   (844-3:0) [] [ '844', '164' ]
finished   (80-1:0) [] [ '80', '164' ]
finished   (1982-0:0) [] [ '1982', '10' ]
finished   (1945-1:0) [] [ '1945', '1976' ]
finished   (1983-0:0) [] [ '1983', '336' ]
finished   (1984-0:0) [] [ '1984', '1976' ]
finished   (1985-0:0) [] [ '1985', '1976' ]
finished   (860-0:0) [] [ '860', '1976' ]
finished   (1986-0:0) [] [ '1986', '10' ]
finished   (1987-0:0) [] [ '1987', '1086' ]
finished   (1988-0:0) [] [ '1988', '1298' ]
finished   (1989-0:0) [] [ '1989', '10' ]
finished   (155-2:0) [] [ '155', '164' ]
finished   (1990-0:0) [] [ '1990', '10' ]
finished   (1991-0:0) [] [ '1991', '10' ]
finished   (1992-0:0) [] [ '1992', '1993' ]
finished   (106-0:0) [] [ '106', '164' ]
finished   (106-1:0) [] [ '106', '164' ]
finished   (1305-1:0) [] [ '1305', '1306' ]
finished   (1994-0:0) [] [ '1994', '1993' ]
finished   (1920-1:0) [] [ '1920', '1995' ]
finished   (1996-0:0) [] [ '1996', '445' ]
finished   (1995-0:0) [] [ '1995', '1920' ]
finished   (1997-0:0) [] [ '1997', '10' ]
finished   (192-3:0) [] [ '192', '164' ]
finished   (1998-0:0) [] [ '1998', '10' ]
finished   (175-7:0) [] [ '175', '164' ]
finished   (507-2:0) [] [ '507', '123' ]
finished   (175-8:0) [] [ '175', '164' ]
finished   (1999-0:0) [] [ '1999', '10' ]
finished   (2000-0:0) [] [ '2000', '155' ]
finished   (2001-0:0) [] [ '2001', '10' ]
finished   (2002-0:0) [] [ '2002', '1244' ]
finished   (2003-0:0) [] [ '2003', '1244' ]
finished   (2004-0:0) [] [ '2004', '1244' ]
finished   (2005-0:0) [] [ '2005', '1010' ]
finished   (2006-0:0) [] [ '2006', '1244' ]
finished   (2007-0:0) [] [ '2007', '707' ]
finished   (2008-0:0) [] [ '2008', '10' ]
finished   (2009-0:0) [] [ '2009', '336' ]
finished   (2010-0:0) [] [ '2010', '10' ]
finished   (1259-1:0) [] [ '1259', '1244' ]
finished   (2011-0:0) [] [ '2011', '123' ]
finished   (2012-0:0) [] [ '2012', '10' ]
finished   (1902-1:0) [] [ '1902', '164' ]
finished   (2013-0:0) [] [ '2013', '1244' ]
finished   (1270-1:0) [] [ '1270', '1244' ]
finished   (1897-1:0) [] [ '1897', '164' ]
finished   (2014-0:0) [] [ '2014', '1244' ]
finished   (155-3:0) [] [ '155', '164' ]
finished   (2015-0:0) [] [ '2015', '336' ]
finished   (2016-0:0) [] [ '2016', '1244' ]
finished   (1274-1:0) [] [ '1274', '1244' ]
finished   (2017-0:0) [] [ '2017', '508' ]
finished   (1266-1:0) [] [ '1266', '1244' ]
finished   (153-2:0) [] [ '153', '247' ]
finished   (2018-0:0) [] [ '2018', '2019' ]
finished   (80-2:0) [] [ '80', '508' ]
finished   (1286-1:0) [] [ '1286', '1244' ]
finished   (2020-0:0) [] [ '2020', '2019' ]
finished   (2021-0:0) [] [ '2021', '336' ]
finished   (2022-0:0) [] [ '2022', '98' ]
finished   (1625-1:0) [] [ '1625', '247' ]
finished   (456-1:0) [] [ '456', '188' ]
finished   (456-2:0) [] [ '456', '188' ]
finished   (458-2:0) [] [ '458', '188' ]
finished   (2023-0:0) [] [ '2023', '224' ]
finished   (398-6:0) [] [ '398', '188' ]
finished   (2024-0:0) [] [ '2024', '1373' ]
finished   (2024-1:0) [] [ '2024', '826' ]
finished   (2025-0:0) [] [ '2025', '1298' ]
finished   (2025-1:0) [] [ '2025', '826' ]
finished   (1802-1:0) [] [ '1802', '363' ]
finished   (2026-0:0) [] [ '2026', '1298' ]
finished   (2026-1:0) [] [ '2026', '826' ]
finished   (1998-1:0) [] [ '1998', '363' ]
finished   (398-7:0) [] [ '398', '1010' ]
finished   (398-8:0) [] [ '398', '375' ]
finished   (458-3:0) [] [ '458', '1010' ]
finished   (1726-1:0) [] [ '1726', '363' ]
finished   (2027-0:0) [] [ '2027', '460' ]
finished   (1797-1:0) [] [ '1797', '363' ]
finished   (2028-0:0) [] [ '2028', '460' ]
finished   (1795-1:0) [] [ '1795', '363' ]
finished   (1349-1:0) [] [ '1349', '1350' ]
finished   (1350-1:0) [] [ '1350', '2029' ]
finished   (1352-1:0) [] [ '1352', '2029' ]
finished   (1902-2:0) [] [ '1902', '88' ]
finished   (2030-0:0) [] [ '2030', '460' ]
finished   (2031-0:0) [] [ '2031', '2032' ]
finished   (1082-2:0) [] [ '1082', '1010' ]
finished   (2032-0:0) [] [ '2032', '2029' ]
finished   (1082-3:0) [] [ '1082', '188' ]
finished   (2033-0:0) [] [ '2033', '2034' ]
finished   (375-11:0) [] [ '375', '188' ]
finished   (13-6:0) [] [ '13', '595' ]
finished   (1897-2:0) [] [ '1897', '88' ]
finished   (2029-0:0) [] [ '2029', '2034' ]
finished   (2035-0:0) [] [ '2035', '460' ]
finished   (2034-0:0) [] [ '2034', '2031' ]
finished   (2034-2:0) [] [ '2034', '1352' ]
finished   (2021-1:0) [] [ '2021', '2036' ]
finished   (2032-1:0) [] [ '2032', '1349' ]
finished   (2038-0:0) [] [ '2038', '1349' ]
finished   (2037-0:0) [] [ '2037', '460' ]
finished   (1599-1:0) [] [ '1599', '1516' ]
backtracked (931-5:0) [ '931', '13' ] [ '19' ]
finished   (794-7:0) [] [ '794', '54' ]
finished   (228-3:0) [] [ '228', '234' ]
finished   (1502-1:0) [] [ '1502', '483' ]
finished   (2039-0:0) [] [ '2039', '460' ]
finished   (853-2:0) [] [ '853', '21' ]
finished   (76-48:0) [] [ '76', '2039', '460' ]
finished   (2041-0:0) [] [ '2041', '139' ]
finished   (2040-0:0) [] [ '2040', '460' ]
finished   (1399-1:0) [] [ '1399', '458' ]
finished   (460-30:0) [] [ '460', '1835' ]
finished   (1842-1:0) [] [ '1842', '460' ]
finished   (2042-0:0) [] [ '2042', '460' ]
finished   (1850-1:0) [] [ '1850', '460' ]
finished   (1854-1:0) [] [ '1854', '460' ]
finished   (2043-0:0) [] [ '2043', '460' ]
finished   (2044-0:0) [] [ '2044', '460' ]
finished   (2045-0:0) [] [ '2045', '725' ]
finished   (2045-1:0) [] [ '2045', '725' ]
finished   (725-7:0) [] [ '725', '717' ]
found loop (1845-1:0) [] [ '1845', '460', '1845' ]
backtrack21 (460-38:0) [ '460' ] [ '1845' ]
finished   (460-38:1) [] [ '460', '2046' ]
finished   (2019-0:0) [] [ '2019', '452' ]
finished   (1922-1:0) [] [ '1922', '595' ]
finished   (1917-1:0) [] [ '1917', '595' ]
finished   (1917-2:0) [] [ '1917', '595' ]
finished   (2047-0:0) [] [ '2047', '2019' ]
finished   (6-14:0) [] [ '6', '7' ]
finished   (2048-0:0) [] [ '2048', '1292' ]
finished   (1133-0:0) [] [ '1133', '651' ]
finished   (2049-0:0) [] [ '2049', '1292' ]
finished   (2050-0:0) [] [ '2050', '1292' ]
finished   (2051-0:0) [] [ '2051', '1292' ]
finished   (2052-0:0) [] [ '2052', '2053' ]
finished   (2053-1:0) [] [ '2053', '2052' ]
finished   (2054-0:0) [] [ '2054', '139' ]
finished   (2055-0:0) [] [ '2055', '1292' ]
finished   (1809-1:0) [] [ '1809', '205' ]
finished   (2008-1:0) [] [ '2008', '205' ]
finished   (489-11:0) [] [ '489', '274' ]
finished   (1349-4:0) [] [ '1349', '30' ]
finished   (2056-0:0) [] [ '2056', '2057' ]
finished   (2058-0:0) [] [ '2058', '2059' ]
finished   (2057-0:0) [] [ '2057', '2060' ]
finished   (2061-0:0) [] [ '2061', '2062' ]
finished   (2063-0:0) [] [ '2063', '2' ]
finished   (2060-0:0) [] [ '2060', '2057' ]
finished   (2031-1:0) [] [ '2031', '2056' ]
finished   (2059-0:0) [] [ '2059', '2058' ]
finished   (2057-1:0) [] [ '2057', '2058' ]
finished   (2058-1:0) [] [ '2058', '2057' ]
finished   (2063-1:0) [] [ '2063', '2060' ]
finished   (2057-2:0) [] [ '2057', '2059' ]
backtracked (2064-0:0) [ '2064', '2061' ] [ '2062' ]
found loop (2064-0:1) [] [ '2064', '2061', '2064' ]
finished   (2062-1:0) [] [ '2062', '2056' ]
finished   (2032-2:0) [] [ '2032', '2031' ]
finished   (2059-1:0) [] [ '2059', '2057' ]
backtrack21 (1350-2:0) [ '1350' ] [ '2038', '1349' ]
finished   (1350-2:1) [] [ '1350', '2060' ]
finished   (689-2:0) [] [ '689', '600' ]
finished   (2057-3:0) [] [ '2057', '2064' ]
finished   (2031-2:0) [] [ '2031', '2032' ]
finished   (2061-1:0) [] [ '2061', '2064' ]
backtrack21 (1352-2:0) [ '1352' ] [ '1349' ]
backtrack21 (1352-2:1) [ '1352' ] [ '2029' ]
finished   (2065-0:0) [] [ '2065', '8' ]
finished   (2057-4:0) [] [ '2057', '2031' ]
finished   (2064-2:0) [] [ '2064', '2058' ]
backtrack21 (2060-2:0) [ '2060' ] [ '2032' ]
finished   (2060-1:0) [] [ '2060', '2061', '2056' ]
finished   (159-3:0) [] [ '159', '247' ]
backtracked (1352-2:2) [ '1352', '2062' ] [ '2056' ]
finished   (603-3:0) [] [ '603', '1085' ]
finished   (2057-5:0) [] [ '2057', '2056' ]
backtracked (1667-1:0) [ '1667', '572' ] [ '1591' ]
finished   (1322-6:0) [] [ '1322', '274' ]
finished   (412-9:0) [] [ '412', '184' ]
finished   (572-8:0) [] [ '572', '10' ]
finished   (826-2:0) [] [ '826', '595' ]
finished   (1322-7:0) [] [ '1322', '274' ]
finished   (605-1:0) [] [ '605', '1085' ]
finished   (994-1:0) [] [ '994', '6' ]
finished   (2035-1:0) [] [ '2035', '460' ]
finished   (2012-1:0) [] [ '2012', '363' ]
finished   (1599-2:0) [] [ '1599', '595' ]
finished   (7-14:0) [] [ '7', '994' ]
finished   (2066-0:0) [] [ '2066', '184' ]
finished   (1237-1:0) [] [ '1237', '1942' ]
finished   (2067-0:0) [] [ '2067', '949' ]
finished   (1569-1:0) [] [ '1569', '1591' ]
finished   (1569-2:0) [] [ '1569', '1116' ]
finished   (2068-0:0) [] [ '2068', '460' ]
finished   (1562-1:0) [] [ '1562', '1591' ]
finished   (1562-2:0) [] [ '1562', '1116' ]
finished   (1116-3:0) [] [ '1116', '1591' ]
finished   (749-1:0) [] [ '749', '2070' ]
finished   (2071-0:0) [] [ '2071', '10' ]
finished   (747-1:0) [] [ '747', '2070' ]
finished   (2069-0:0) [] [ '2069', '460' ]
finished   (748-1:0) [] [ '748', '2070' ]
finished   (692-5:0) [] [ '692', '1591' ]
finished   (1338-0:0) [] [ '1338', '1', '1864' ]
finished   (2073-0:0) [] [ '2073', '10' ]
finished   (2074-0:0) [] [ '2074', '487' ]
finished   (1085-0:0) [] [ '1085', '1033' ]
finished   (2075-0:0) [] [ '2075', '10' ]
finished   (2076-0:0) [] [ '2076', '10' ]
finished   (2077-0:0) [] [ '2077', '460' ]
finished   (2078-0:0) [] [ '2078', '10' ]
finished   (855-3:0) [] [ '855', '1033' ]
finished   (2079-0:0) [] [ '2079', '10' ]
finished   (2080-0:0) [] [ '2080', '10' ]
finished   (2081-0:0) [] [ '2081', '10' ]
finished   (2082-0:0) [] [ '2082', '10' ]
finished   (2083-0:0) [] [ '2083', '10' ]
finished   (98-5:0) [] [ '98', '452' ]
finished   (2084-0:0) [] [ '2084', '10' ]
finished   (47-20:0) [] [ '47', '2085' ]
finished   (2086-0:0) [] [ '2086', '10' ]
finished   (2087-0:0) [] [ '2087', '10' ]
finished   (247-7:0) [] [ '247', '363' ]
finished   (2088-0:0) [] [ '2088', '115' ]
finished   (2089-0:0) [] [ '2089', '10' ]
finished   (2090-0:0) [] [ '2090', '460' ]
finished   (2091-0:0) [] [ '2091', '336' ]
finished   (1729-2:0) [] [ '1729', '514' ]
finished   (2068-1:0) [] [ '2068', '595' ]
finished   (2077-1:0) [] [ '2077', '595' ]
finished   (2021-2:0) [] [ '2021', '2036' ]
finished   (247-8:0) [] [ '247', '514' ]
finished   (2069-1:0) [] [ '2069', '595' ]
